2022 Federal Election House of Representatives First Preferences By Candidate By Polling Place for TAS [Event:27966 Phase:FinalResults Generated:2022-07-19T10:30:00 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
TAS,192,Bass,8599,Glengarry,37226,HART,Ross,9,N,N,ALP,Australian Labor Party,63,-2.11
TAS,192,Bass,8599,Glengarry,999,Informal,Informal,999,N,N,,Informal,12,0.65
TAS,192,Bass,8603,Gravelly Beach,36070,RAZAY,George,1,N,N,IND,Independent,40,7.63
TAS,192,Bass,8603,Gravelly Beach,37348,SALT,Bob,2,N,N,JLN,Jacqui Lambie Network,27,5.15
TAS,192,Bass,8603,Gravelly Beach,37287,ROSOL,Cecily,3,N,N,GRN,The Greens,66,-3.85
TAS,192,Bass,8603,Gravelly Beach,37134,ARCHER,Bridget Kathleen,4,Y,Y,LP,Liberal,191,-2.79
TAS,192,Bass,8603,Gravelly Beach,36814,BAKER,Alison,5,N,N,AJP,Animal Justice Party,7,-0.68
TAS,192,Bass,8603,Gravelly Beach,37003,HUMBLE,Stephen,6,N,N,LDP,Liberal Democrats,9,1.72
TAS,192,Bass,8603,Gravelly Beach,36111,SQUIBB,Kyle,7,N,N,UAPP,United Australia Party,12,-1.16
TAS,192,Bass,8603,Gravelly Beach,37601,DAVY,Melanie,8,N,N,ON,Pauline Hanson's One Nation,24,4.58
TAS,192,Bass,8603,Gravelly Beach,37226,HART,Ross,9,N,N,ALP,Australian Labor Party,148,-5.77
TAS,192,Bass,8603,Gravelly Beach,999,Informal,Informal,999,N,N,,Informal,46,3.49
TAS,192,Bass,8304,Hillwood,36070,RAZAY,George,1,N,N,IND,Independent,13,3.4
TAS,192,Bass,8304,Hillwood,37348,SALT,Bob,2,N,N,JLN,Jacqui Lambie Network,29,7.59
TAS,192,Bass,8304,Hillwood,37287,ROSOL,Cecily,3,N,N,GRN,The Greens,41,1.09
TAS,192,Bass,8304,Hillwood,37134,ARCHER,Bridget Kathleen,4,Y,Y,LP,Liberal,166,2.32
TAS,192,Bass,8304,Hillwood,36814,BAKER,Alison,5,N,N,AJP,Animal Justice Party,5,-1.08
TAS,192,Bass,8304,Hillwood,37003,HUMBLE,Stephen,6,N,N,LDP,Liberal Democrats,5,1.31
TAS,192,Bass,8304,Hillwood,36111,SQUIBB,Kyle,7,N,N,UAPP,United Australia Party,6,-3.21
TAS,192,Bass,8304,Hillwood,37601,DAVY,Melanie,8,N,N,ON,Pauline Hanson's One Nation,16,4.19
TAS,192,Bass,8304,Hillwood,37226,HART,Ross,9,N,N,ALP,Australian Labor Party,101,-9.78
TAS,192,Bass,8304,Hillwood,999,Informal,Informal,999,N,N,,Informal,31,5.41
TAS,192,Bass,8305,Inveresk,36070,RAZAY,George,1,N,N,IND,Independent,41,5.2
TAS,192,Bass,8305,Inveresk,37348,SALT,Bob,2,N,N,JLN,Jacqui Lambie Network,58,7.36
TAS,192,Bass,8305,Inveresk,37287,ROSOL,Cecily,3,N,N,GRN,The Greens,136,4.12
TAS,192,Bass,8305,Inveresk,37134,ARCHER,Bridget Kathleen,4,Y,Y,LP,Liberal,178,-2.51
TAS,192,Bass,8305,Inveresk,36814,BAKER,Alison,5,N,N,AJP,Animal Justice Party,15,-0.57
TAS,192,Bass,8305,Inveresk,37003,HUMBLE,Stephen,6,N,N,LDP,Liberal Democrats,11,1.4
TAS,192,Bass,8305,Inveresk,36111,SQUIBB,Kyle,7,N,N,UAPP,United Australia Party,18,-3.59
TAS,192,Bass,8305,Inveresk,37601,DAVY,Melanie,8,N,N,ON,Pauline Hanson's One Nation,47,5.96
TAS,192,Bass,8305,Inveresk,37226,HART,Ross,9,N,N,ALP,Australian Labor Party,284,-12.53
TAS,192,Bass,8305,Inveresk,999,Informal,Informal,999,N,N,,Informal,74,2.39
TAS,192,Bass,8306,Invermay,36070,RAZAY,George,1,N,N,IND,Independent,37,5.25
TAS,192,Bass,8306,Invermay,37348,SALT,Bob,2,N,N,JLN,Jacqui Lambie Network,62,8.79
TAS,192,Bass,8306,Invermay,37287,ROSOL,Cecily,3,N,N,GRN,The Greens,103,0.72
TAS,192,Bass,8306,Invermay,37134,ARCHER,Bridget Kathleen,4,Y,Y,LP,Liberal,216,-2.31
TAS,192,Bass,8306,Invermay,36814,BAKER,Alison,5,N,N,AJP,Animal Justice Party,16,-0.4
TAS,192,Bass,8306,Invermay,37003,HUMBLE,Stephen,6,N,N,LDP,Liberal Democrats,8,1.13
TAS,192,Bass,8306,Invermay,36111,SQUIBB,Kyle,7,N,N,UAPP,United Australia Party,10,-3.52
TAS,192,Bass,8306,Invermay,37601,DAVY,Melanie,8,N,N,ON,Pauline Hanson's One Nation,35,4.96
TAS,192,Bass,8306,Invermay,37226,HART,Ross,9,N,N,ALP,Australian Labor Party,218,-9.69
TAS,192,Bass,8306,Invermay,999,Informal,Informal,999,N,N,,Informal,57,2.15
TAS,192,Bass,8308,Karoola,36070,RAZAY,George,1,N,N,IND,Independent,17,5.96
TAS,192,Bass,8308,Karoola,37348,SALT,Bob,2,N,N,JLN,Jacqui Lambie Network,29,10.18
TAS,192,Bass,8308,Karoola,37287,ROSOL,Cecily,3,N,N,GRN,The Greens,19,-2.29
TAS,192,Bass,8308,Karoola,37134,ARCHER,Bridget Kathleen,4,Y,Y,LP,Liberal,127,-0.36
TAS,192,Bass,8308,Karoola,36814,BAKER,Alison,5,N,N,AJP,Animal Justice Party,9,1.01
TAS,192,Bass,8308,Karoola,37003,HUMBLE,Stephen,6,N,N,LDP,Liberal Democrats,2,0.7
TAS,192,Bass,8308,Karoola,36111,SQUIBB,Kyle,7,N,N,UAPP,United Australia Party,4,-8.65
TAS,192,Bass,8308,Karoola,37601,DAVY,Melanie,8,N,N,ON,Pauline Hanson's One Nation,8,2.81
TAS,192,Bass,8308,Karoola,37226,HART,Ross,9,N,N,ALP,Australian Labor Party,70,-4.15
TAS,192,Bass,8308,Karoola,999,Informal,Informal,999,N,N,,Informal,31,7.11
TAS,192,Bass,31784,Kelso,36070,RAZAY,George,1,N,N,IND,Independent,12,3.96
TAS,192,Bass,31784,Kelso,37348,SALT,Bob,2,N,N,JLN,Jacqui Lambie Network,32,10.56
TAS,192,Bass,31784,Kelso,37287,ROSOL,Cecily,3,N,N,GRN,The Greens,29,-1.47
TAS,192,Bass,31784,Kelso,37134,ARCHER,Bridget Kathleen,4,Y,Y,LP,Liberal,131,0.01
TAS,192,Bass,31784,Kelso,36814,BAKER,Alison,5,N,N,AJP,Animal Justice Party,2,-2.24
TAS,192,Bass,31784,Kelso,37003,HUMBLE,Stephen,6,N,N,LDP,Liberal Democrats,3,0.99
TAS,192,Bass,31784,Kelso,36111,SQUIBB,Kyle,7,N,N,UAPP,United Australia Party,0,-7.7
TAS,192,Bass,31784,Kelso,37601,DAVY,Melanie,8,N,N,ON,Pauline Hanson's One Nation,15,4.95
TAS,192,Bass,31784,Kelso,37226,HART,Ross,9,N,N,ALP,Australian Labor Party,79,-4.22
TAS,192,Bass,31784,Kelso,999,Informal,Informal,999,N,N,,Informal,21,2.45
TAS,192,Bass,8309,Kings Meadows,36070,RAZAY,George,1,N,N,IND,Independent,70,5.57
TAS,192,Bass,8309,Kings Meadows,37348,SALT,Bob,2,N,N,JLN,Jacqui Lambie Network,92,7.32
TAS,192,Bass,8309,Kings Meadows,37287,ROSOL,Cecily,3,N,N,GRN,The Greens,139,2.48
TAS,192,Bass,8309,Kings Meadows,37134,ARCHER,Bridget Kathleen,4,Y,Y,LP,Liberal,405,-6.06
TAS,192,Bass,8309,Kings Meadows,36814,BAKER,Alison,5,N,N,AJP,Animal Justice Party,28,-1.45
TAS,192,Bass,8309,Kings Meadows,37003,HUMBLE,Stephen,6,N,N,LDP,Liberal Democrats,8,0.64
TAS,192,Bass,8309,Kings Meadows,36111,SQUIBB,Kyle,7,N,N,UAPP,United Australia Party,23,-2.63
TAS,192,Bass,8309,Kings Meadows,37601,DAVY,Melanie,8,N,N,ON,Pauline Hanson's One Nation,64,5.1
TAS,192,Bass,8309,Kings Meadows,37226,HART,Ross,9,N,N,ALP,Australian Labor Party,427,-5.89
TAS,192,Bass,8309,Kings Meadows,999,Informal,Informal,999,N,N,,Informal,116,2.48
TAS,192,Bass,97858,Kings Meadows South,36070,RAZAY,George,1,N,N,IND,Independent,14,6.48
TAS,192,Bass,97858,Kings Meadows South,37348,SALT,Bob,2,N,N,JLN,Jacqui Lambie Network,13,6.02
TAS,192,Bass,97858,Kings Meadows South,37287,ROSOL,Cecily,3,N,N,GRN,The Greens,23,1.68
TAS,192,Bass,97858,Kings Meadows South,37134,ARCHER,Bridget Kathleen,4,Y,Y,LP,Liberal,75,-3.73
TAS,192,Bass,97858,Kings Meadows South,36814,BAKER,Alison,5,N,N,AJP,Animal Justice Party,1,-3.15
TAS,192,Bass,97858,Kings Meadows South,37003,HUMBLE,Stephen,6,N,N,LDP,Liberal Democrats,3,1.39
TAS,192,Bass,97858,Kings Meadows South,36111,SQUIBB,Kyle,7,N,N,UAPP,United Australia Party,5,-2.23
TAS,192,Bass,97858,Kings Meadows South,37601,DAVY,Melanie,8,N,N,ON,Pauline Hanson's One Nation,11,5.09
TAS,192,Bass,97858,Kings Meadows South,37226,HART,Ross,9,N,N,ALP,Australian Labor Party,71,-6.34
TAS,192,Bass,97858,Kings Meadows South,999,Informal,Informal,999,N,N,,Informal,17,1.42
