2022 Federal Election House of Representatives First Preferences By Candidate By Polling Place for NSW [Event:27966 Phase:FinalResults Generated:2022-07-19T10:30:02 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
NSW,103,Banks,97644,Central Sydney BANKS PPVC,36651,COCKER,Elouise Ivy,2,N,N,LDP,Liberal Democrats,2,0.96
NSW,103,Banks,97644,Central Sydney BANKS PPVC,36265,MOMIRCEVSKI,Marika,3,N,N,UAPP,United Australia Party,3,-1
NSW,103,Banks,97644,Central Sydney BANKS PPVC,36330,HANNA,Natalie,4,N,N,GRN,The Greens,23,2
NSW,103,Banks,97644,Central Sydney BANKS PPVC,37388,KHOUW,Steve,5,N,N,NAFD,,1,0.48
NSW,103,Banks,97644,Central Sydney BANKS PPVC,37773,HEFFERNAN,Malcolm Phillip,6,N,N,ON,Pauline Hanson's One Nation,4,1.92
NSW,103,Banks,97644,Central Sydney BANKS PPVC,36774,SOON,Zhi,7,N,N,ALP,Labor,97,7.26
NSW,103,Banks,97644,Central Sydney BANKS PPVC,999,Informal,Informal,999,N,N,,Informal,4,-3.53
NSW,103,Banks,42,Connells Point (Banks),37018,COLEMAN,David,1,Y,Y,LP,Liberal,905,-9.6
NSW,103,Banks,42,Connells Point (Banks),36651,COCKER,Elouise Ivy,2,N,N,LDP,Liberal Democrats,24,1.44
NSW,103,Banks,42,Connells Point (Banks),36265,MOMIRCEVSKI,Marika,3,N,N,UAPP,United Australia Party,104,4.37
NSW,103,Banks,42,Connells Point (Banks),36330,HANNA,Natalie,4,N,N,GRN,The Greens,115,2.29
NSW,103,Banks,42,Connells Point (Banks),37388,KHOUW,Steve,5,N,N,NAFD,,33,1.97
NSW,103,Banks,42,Connells Point (Banks),37773,HEFFERNAN,Malcolm Phillip,6,N,N,ON,Pauline Hanson's One Nation,48,2.87
NSW,103,Banks,42,Connells Point (Banks),36774,SOON,Zhi,7,N,N,ALP,Labor,443,0.41
NSW,103,Banks,42,Connells Point (Banks),999,Informal,Informal,999,N,N,,Informal,159,-0.6
NSW,103,Banks,2,East Hills,37018,COLEMAN,David,1,Y,Y,LP,Liberal,444,-4.71
NSW,103,Banks,2,East Hills,36651,COCKER,Elouise Ivy,2,N,N,LDP,Liberal Democrats,9,0.9
NSW,103,Banks,2,East Hills,36265,MOMIRCEVSKI,Marika,3,N,N,UAPP,United Australia Party,51,1.38
NSW,103,Banks,2,East Hills,36330,HANNA,Natalie,4,N,N,GRN,The Greens,94,3.38
NSW,103,Banks,2,East Hills,37388,KHOUW,Steve,5,N,N,NAFD,,13,1.3
NSW,103,Banks,2,East Hills,37773,HEFFERNAN,Malcolm Phillip,6,N,N,ON,Pauline Hanson's One Nation,31,3.11
NSW,103,Banks,2,East Hills,36774,SOON,Zhi,7,N,N,ALP,Labor,356,-1.89
NSW,103,Banks,2,East Hills,999,Informal,Informal,999,N,N,,Informal,63,-1.15
NSW,103,Banks,65425,EAV Banks PPVC,37018,COLEMAN,David,1,Y,Y,LP,Liberal,9,14
NSW,103,Banks,65425,EAV Banks PPVC,36651,COCKER,Elouise Ivy,2,N,N,LDP,Liberal Democrats,0,0
NSW,103,Banks,65425,EAV Banks PPVC,36265,MOMIRCEVSKI,Marika,3,N,N,UAPP,United Australia Party,0,-4.74
NSW,103,Banks,65425,EAV Banks PPVC,36330,HANNA,Natalie,4,N,N,GRN,The Greens,1,-0.08
NSW,103,Banks,65425,EAV Banks PPVC,37388,KHOUW,Steve,5,N,N,NAFD,,1,4.76
NSW,103,Banks,65425,EAV Banks PPVC,37773,HEFFERNAN,Malcolm Phillip,6,N,N,ON,Pauline Hanson's One Nation,2,9.52
NSW,103,Banks,65425,EAV Banks PPVC,36774,SOON,Zhi,7,N,N,ALP,Labor,8,-18.7
NSW,103,Banks,65425,EAV Banks PPVC,999,Informal,Informal,999,N,N,,Informal,1,4.49
NSW,103,Banks,108623,EAV COVID19 Banks PPVC,37018,COLEMAN,David,1,Y,Y,LP,Liberal,173,48.73
NSW,103,Banks,108623,EAV COVID19 Banks PPVC,36651,COCKER,Elouise Ivy,2,N,N,LDP,Liberal Democrats,0,0
NSW,103,Banks,108623,EAV COVID19 Banks PPVC,36265,MOMIRCEVSKI,Marika,3,N,N,UAPP,United Australia Party,11,3.1
NSW,103,Banks,108623,EAV COVID19 Banks PPVC,36330,HANNA,Natalie,4,N,N,GRN,The Greens,36,10.14
NSW,103,Banks,108623,EAV COVID19 Banks PPVC,37388,KHOUW,Steve,5,N,N,NAFD,,3,0.85
NSW,103,Banks,108623,EAV COVID19 Banks PPVC,37773,HEFFERNAN,Malcolm Phillip,6,N,N,ON,Pauline Hanson's One Nation,7,1.97
NSW,103,Banks,108623,EAV COVID19 Banks PPVC,36774,SOON,Zhi,7,N,N,ALP,Labor,125,35.21
