2022 Federal Election House of Representatives First Preferences By Candidate By Polling Place for ACT [Event:27966 Phase:FinalResults Generated:2022-07-19T10:30:00 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
ACT,318,Bean,8767,Duffy,37198,HIATT,Jane,6,N,N,LP,Liberal,412,2.21
ACT,318,Bean,8767,Duffy,999,Informal,Informal,999,N,N,,Informal,38,-1.87
ACT,318,Bean,93927,EAV Bean PPVC,36239,CONWAY,Sean,1,N,N,UAPP,United Australia Party,1,7.14
ACT,318,Bean,93927,EAV Bean PPVC,37455,AMBARD,Benjamin,2,N,N,ON,Pauline Hanson's One Nation,0,0
ACT,318,Bean,93927,EAV Bean PPVC,36231,SMITH,David,3,Y,Y,ALP,Australian Labor Party,5,-10.43
ACT,318,Bean,93927,EAV Bean PPVC,32130,CHRISTIE,Jamie,4,N,N,IND,Independent,1,-0.55
ACT,318,Bean,93927,EAV Bean PPVC,36243,SAVERY,Kathryn Jane,5,N,N,GRN,The Greens,2,-8.78
ACT,318,Bean,93927,EAV Bean PPVC,37198,HIATT,Jane,6,N,N,LP,Liberal,5,27.98
ACT,318,Bean,93927,EAV Bean PPVC,999,Informal,Informal,999,N,N,,Informal,0,0
ACT,318,Bean,108523,EAV COVID19 Bean PPVC,36239,CONWAY,Sean,1,N,N,UAPP,United Australia Party,19,3.74
ACT,318,Bean,108523,EAV COVID19 Bean PPVC,37455,AMBARD,Benjamin,2,N,N,ON,Pauline Hanson's One Nation,9,1.77
ACT,318,Bean,108523,EAV COVID19 Bean PPVC,36231,SMITH,David,3,Y,Y,ALP,Australian Labor Party,217,42.72
ACT,318,Bean,108523,EAV COVID19 Bean PPVC,32130,CHRISTIE,Jamie,4,N,N,IND,Independent,37,7.28
ACT,318,Bean,108523,EAV COVID19 Bean PPVC,36243,SAVERY,Kathryn Jane,5,N,N,GRN,The Greens,93,18.31
ACT,318,Bean,108523,EAV COVID19 Bean PPVC,37198,HIATT,Jane,6,N,N,LP,Liberal,133,26.18
ACT,318,Bean,108523,EAV COVID19 Bean PPVC,999,Informal,Informal,999,N,N,,Informal,3,0.59
ACT,318,Bean,8768,Fadden,36239,CONWAY,Sean,1,N,N,UAPP,United Australia Party,37,1.03
ACT,318,Bean,8768,Fadden,37455,AMBARD,Benjamin,2,N,N,ON,Pauline Hanson's One Nation,25,1.62
ACT,318,Bean,8768,Fadden,36231,SMITH,David,3,Y,Y,ALP,Australian Labor Party,662,6.41
ACT,318,Bean,8768,Fadden,32130,CHRISTIE,Jamie,4,N,N,IND,Independent,142,-0.96
ACT,318,Bean,8768,Fadden,36243,SAVERY,Kathryn Jane,5,N,N,GRN,The Greens,206,1.22
ACT,318,Bean,8768,Fadden,37198,HIATT,Jane,6,N,N,LP,Liberal,469,-4.34
ACT,318,Bean,8768,Fadden,999,Informal,Informal,999,N,N,,Informal,36,-1.83
ACT,318,Bean,8769,Farrer,36239,CONWAY,Sean,1,N,N,UAPP,United Australia Party,47,1.03
ACT,318,Bean,8769,Farrer,37455,AMBARD,Benjamin,2,N,N,ON,Pauline Hanson's One Nation,32,1.68
ACT,318,Bean,8769,Farrer,36231,SMITH,David,3,Y,Y,ALP,Australian Labor Party,812,2.91
ACT,318,Bean,8769,Farrer,32130,CHRISTIE,Jamie,4,N,N,IND,Independent,156,-1.02
ACT,318,Bean,8769,Farrer,36243,SAVERY,Kathryn Jane,5,N,N,GRN,The Greens,286,1.97
ACT,318,Bean,8769,Farrer,37198,HIATT,Jane,6,N,N,LP,Liberal,575,-1.01
ACT,318,Bean,8769,Farrer,999,Informal,Informal,999,N,N,,Informal,42,-2.29
ACT,318,Bean,93913,Garran (Bean),36239,CONWAY,Sean,1,N,N,UAPP,United Australia Party,5,-0.69
ACT,318,Bean,93913,Garran (Bean),37455,AMBARD,Benjamin,2,N,N,ON,Pauline Hanson's One Nation,9,1.84
ACT,318,Bean,93913,Garran (Bean),36231,SMITH,David,3,Y,Y,ALP,Australian Labor Party,208,7.69
ACT,318,Bean,93913,Garran (Bean),32130,CHRISTIE,Jamie,4,N,N,IND,Independent,40,-0.58
ACT,318,Bean,93913,Garran (Bean),36243,SAVERY,Kathryn Jane,5,N,N,GRN,The Greens,111,4.1
ACT,318,Bean,93913,Garran (Bean),37198,HIATT,Jane,6,N,N,LP,Liberal,117,-5.13
ACT,318,Bean,93913,Garran (Bean),999,Informal,Informal,999,N,N,,Informal,13,-1.9
ACT,318,Bean,8771,Gilmore,36239,CONWAY,Sean,1,N,N,UAPP,United Australia Party,48,-0.45
ACT,318,Bean,8771,Gilmore,37455,AMBARD,Benjamin,2,N,N,ON,Pauline Hanson's One Nation,71,4.76
ACT,318,Bean,8771,Gilmore,36231,SMITH,David,3,Y,Y,ALP,Australian Labor Party,560,0.46
ACT,318,Bean,8771,Gilmore,32130,CHRISTIE,Jamie,4,N,N,IND,Independent,118,0.11
ACT,318,Bean,8771,Gilmore,36243,SAVERY,Kathryn Jane,5,N,N,GRN,The Greens,177,0.38
ACT,318,Bean,8771,Gilmore,37198,HIATT,Jane,6,N,N,LP,Liberal,519,2.08
ACT,318,Bean,8771,Gilmore,999,Informal,Informal,999,N,N,,Informal,82,-1.63
ACT,318,Bean,12072,Gordon,36239,CONWAY,Sean,1,N,N,UAPP,United Australia Party,97,1.73
ACT,318,Bean,12072,Gordon,37455,AMBARD,Benjamin,2,N,N,ON,Pauline Hanson's One Nation,95,3.96
ACT,318,Bean,12072,Gordon,36231,SMITH,David,3,Y,Y,ALP,Australian Labor Party,991,2.87
ACT,318,Bean,12072,Gordon,32130,CHRISTIE,Jamie,4,N,N,IND,Independent,180,-1.92
ACT,318,Bean,12072,Gordon,36243,SAVERY,Kathryn Jane,5,N,N,GRN,The Greens,297,0.27
ACT,318,Bean,12072,Gordon,37198,HIATT,Jane,6,N,N,LP,Liberal,738,0.19
ACT,318,Bean,12072,Gordon,999,Informal,Informal,999,N,N,,Informal,107,-2.48
ACT,318,Bean,83837,Gordon North,36239,CONWAY,Sean,1,N,N,UAPP,United Australia Party,22,0.94
ACT,318,Bean,83837,Gordon North,37455,AMBARD,Benjamin,2,N,N,ON,Pauline Hanson's One Nation,33,5.92
ACT,318,Bean,83837,Gordon North,36231,SMITH,David,3,Y,Y,ALP,Australian Labor Party,189,1.22
ACT,318,Bean,83837,Gordon North,32130,CHRISTIE,Jamie,4,N,N,IND,Independent,46,1.49
ACT,318,Bean,83837,Gordon North,36243,SAVERY,Kathryn Jane,5,N,N,GRN,The Greens,61,0.23
ACT,318,Bean,83837,Gordon North,37198,HIATT,Jane,6,N,N,LP,Liberal,206,-3.81
ACT,318,Bean,83837,Gordon North,999,Informal,Informal,999,N,N,,Informal,23,0.87
ACT,318,Bean,8772,Gowrie,36239,CONWAY,Sean,1,N,N,UAPP,United Australia Party,50,0.74
ACT,318,Bean,8772,Gowrie,37455,AMBARD,Benjamin,2,N,N,ON,Pauline Hanson's One Nation,46,3.19
ACT,318,Bean,8772,Gowrie,36231,SMITH,David,3,Y,Y,ALP,Australian Labor Party,555,0.45
ACT,318,Bean,8772,Gowrie,32130,CHRISTIE,Jamie,4,N,N,IND,Independent,120,-0.73
ACT,318,Bean,8772,Gowrie,36243,SAVERY,Kathryn Jane,5,N,N,GRN,The Greens,241,4.25
ACT,318,Bean,8772,Gowrie,37198,HIATT,Jane,6,N,N,LP,Liberal,431,-1.36
ACT,318,Bean,8772,Gowrie,999,Informal,Informal,999,N,N,,Informal,48,-2.25
ACT,318,Bean,97445,Greenway,36239,CONWAY,Sean,1,N,N,UAPP,United Australia Party,70,2.96
ACT,318,Bean,97445,Greenway,37455,AMBARD,Benjamin,2,N,N,ON,Pauline Hanson's One Nation,48,3.51
ACT,318,Bean,97445,Greenway,36231,SMITH,David,3,Y,Y,ALP,Australian Labor Party,513,3.27
ACT,318,Bean,97445,Greenway,32130,CHRISTIE,Jamie,4,N,N,IND,Independent,102,-1.35
ACT,318,Bean,97445,Greenway,36243,SAVERY,Kathryn Jane,5,N,N,GRN,The Greens,257,1.4
ACT,318,Bean,97445,Greenway,37198,HIATT,Jane,6,N,N,LP,Liberal,377,-1.05
ACT,318,Bean,97445,Greenway,999,Informal,Informal,999,N,N,,Informal,41,-2.15
ACT,318,Bean,93929,Gungahlin BEAN PPVC,36239,CONWAY,Sean,1,N,N,UAPP,United Australia Party,22,1.71
ACT,318,Bean,93929,Gungahlin BEAN PPVC,37455,AMBARD,Benjamin,2,N,N,ON,Pauline Hanson's One Nation,20,4.74
ACT,318,Bean,93929,Gungahlin BEAN PPVC,36231,SMITH,David,3,Y,Y,ALP,Australian Labor Party,144,-0.58
ACT,318,Bean,93929,Gungahlin BEAN PPVC,32130,CHRISTIE,Jamie,4,N,N,IND,Independent,26,2.08
ACT,318,Bean,93929,Gungahlin BEAN PPVC,36243,SAVERY,Kathryn Jane,5,N,N,GRN,The Greens,80,7.29
ACT,318,Bean,93929,Gungahlin BEAN PPVC,37198,HIATT,Jane,6,N,N,LP,Liberal,130,-8.26
ACT,318,Bean,93929,Gungahlin BEAN PPVC,999,Informal,Informal,999,N,N,,Informal,21,-2.55
ACT,318,Bean,8773,Holder,36239,CONWAY,Sean,1,N,N,UAPP,United Australia Party,30,0.7
ACT,318,Bean,8773,Holder,37455,AMBARD,Benjamin,2,N,N,ON,Pauline Hanson's One Nation,47,2.89
ACT,318,Bean,8773,Holder,36231,SMITH,David,3,Y,Y,ALP,Australian Labor Party,716,3.53
ACT,318,Bean,8773,Holder,32130,CHRISTIE,Jamie,4,N,N,IND,Independent,137,-0.46
ACT,318,Bean,8773,Holder,36243,SAVERY,Kathryn Jane,5,N,N,GRN,The Greens,217,1.37
ACT,318,Bean,8773,Holder,37198,HIATT,Jane,6,N,N,LP,Liberal,478,-1.62
ACT,318,Bean,8773,Holder,999,Informal,Informal,999,N,N,,Informal,38,-2.44
ACT,318,Bean,93908,Hughes (Bean),36239,CONWAY,Sean,1,N,N,UAPP,United Australia Party,7,-0.34
