StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,TotalVotes,Progressive,Conservative,Other,Leaning
ACT,318,Bean,8773,Holder,1663,0.561034275405893,0.28743235117257965,0.15153337342152737,-0.27360192423331336
ACT,318,Bean,8776,Kambah North,1650,0.5321212121212121,0.26606060606060605,0.2018181818181818,-0.26606060606060605
ACT,318,Bean,8777,Kambah South,1647,0.6138433515482696,0.20886460230722526,0.17729204614450517,-0.4049787492410444
ACT,318,Bean,8778,Kambah West,1878,0.5484558040468583,0.2933972310969116,0.15814696485623003,-0.2550585729499467
ACT,318,Bean,8780,Mawson,1831,0.628618241398143,0.2326597487711633,0.1387220098306936,-0.39595849262697974
ACT,318,Bean,8781,Monash,1698,0.5176678445229682,0.30212014134275617,0.18021201413427562,-0.21554770318021205
ACT,318,Bean,8784,Pearce,1353,0.5861049519586105,0.2579453067257945,0.15594974131559497,-0.32815964523281593
ACT,318,Bean,8786,Richardson,1269,0.4988179669030733,0.26083530338849487,0.24034672970843185,-0.23798266351457842
ACT,318,Bean,8788,Tharwa,131,0.4198473282442748,0.35877862595419846,0.22137404580152673,-0.06106870229007633
ACT,318,Bean,8790,Wanniassa,1817,0.5250412768299395,0.27682993946064943,0.19812878370941112,-0.24821133736929007
ACT,318,Bean,8791,Wanniassa Hills,1425,0.5656140350877193,0.2673684210526316,0.16701754385964912,-0.29824561403508776
ACT,318,Bean,8792,Waramanga,1584,0.61489898989899,0.2335858585858586,0.15151515151515152,-0.3813131313131314
ACT,318,Bean,8793,Weston,1191,0.5969773299748111,0.25440806045340053,0.1486146095717884,-0.3425692695214106
ACT,318,Bean,8884,Isabella Plains,1706,0.5041031652989449,0.28839390386869873,0.20750293083235638,-0.2157092614302462
ACT,318,Bean,11452,Calwell,1798,0.5222469410456062,0.2836484983314794,0.19410456062291434,-0.23859844271412678
ACT,318,Bean,11877,Bonython,1314,0.545662100456621,0.2968036529680365,0.15753424657534246,-0.2488584474885845
ACT,318,Bean,11878,Theodore,1454,0.5178817056396149,0.30192572214580465,0.18019257221458046,-0.21595598349381023
ACT,318,Bean,12072,Gordon,2505,0.5141716566866268,0.2946107784431138,0.19121756487025948,-0.219560878243513
ACT,318,Bean,31298,Conder,2080,0.5177884615384616,0.28173076923076923,0.20048076923076924,-0.23605769230769236
ACT,318,Bean,32704,Tuggeranong BEAN PPVC,19812,0.5172117908338381,0.33267716535433073,0.1501110438118312,-0.18453462547950733
ACT,318,Bean,32705,Woden BEAN PPVC,10432,0.5778374233128835,0.28153757668711654,0.140625,-0.2962998466257669
ACT,318,Bean,65739,Norfolk Island,302,0.3443708609271523,0.16556291390728478,0.4900662251655629,-0.17880794701986752
ACT,318,Bean,66153,Norfolk Island PPVC,525,0.30666666666666664,0.26095238095238094,0.43238095238095237,-0.04571428571428571
ACT,318,Bean,82523,Coombs,2540,0.6177165354330708,0.2641732283464567,0.11811023622047244,-0.35354330708661413
ACT,318,Bean,83835,Conder North,1113,0.48697214734950584,0.3297394429469901,0.18328840970350405,-0.15723270440251574
ACT,318,Bean,83837,Gordon North,580,0.43103448275862066,0.35517241379310344,0.21379310344827587,-0.07586206896551723
ACT,318,Bean,83841,Waramanga West,753,0.6175298804780877,0.24169986719787517,0.1407702523240372,-0.3758300132802125
ACT,318,Bean,93906,Curtin (Bean),143,0.6573426573426573,0.24475524475524477,0.0979020979020979,-0.4125874125874125
ACT,318,Bean,93908,Hughes (Bean),244,0.6024590163934426,0.2459016393442623,0.15163934426229508,-0.3565573770491803
ACT,318,Bean,93909,Lyons (Bean),573,0.6387434554973822,0.21291448516579406,0.14834205933682373,-0.4258289703315882
ACT,318,Bean,93913,Garran (Bean),503,0.6341948310139165,0.23260437375745527,0.13320079522862824,-0.40159045725646125
ACT,318,Bean,93916,City (Bean),66,0.5909090909090909,0.21212121212121213,0.19696969696969696,-0.3787878787878788
ACT,318,Bean,93922,City BEAN PPVC,1727,0.61667631731326,0.2507237984944991,0.1325998841922409,-0.3659525188187609
ACT,318,Bean,93925,Belconnen BEAN PPVC,935,0.5475935828877005,0.3016042780748663,0.15080213903743314,-0.24598930481283426
ACT,318,Bean,93927,EAV Bean PPVC,14,0.5,0.35714285714285715,0.14285714285714285,-0.14285714285714285
ACT,318,Bean,93928,Parkes (Bean),439,0.7198177676537585,0.17084282460136674,0.10933940774487472,-0.5489749430523918
ACT,318,Bean,93929,Gungahlin BEAN PPVC,443,0.5056433408577878,0.29345372460496616,0.20090293453724606,-0.21218961625282168
ACT,318,Bean,97445,Greenway,1408,0.546875,0.2677556818181818,0.18536931818181818,-0.2791193181818182
ACT,318,Bean,97479,Parkes BEAN PPVC,1732,0.640877598152425,0.22921478060046188,0.12990762124711316,-0.4116628175519631
ACT,318,Bean,98052,Torrens,847,0.628099173553719,0.2384887839433294,0.1334120425029516,-0.38961038961038963
ACT,318,Bean,98056,Queanbeyan BEAN PPVC,322,0.453416149068323,0.35714285714285715,0.18944099378881987,-0.09627329192546585
ACT,318,Bean,108523,EAV COVID19 Bean PPVC,511,0.6066536203522505,0.2602739726027397,0.13307240704500978,-0.34637964774951074
