2022 Federal Election House of Representatives First Preferences By Candidate By Polling Place for SA [Event:27966 Phase:FinalResults Generated:2022-07-19T10:30:00 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
SA,179,Adelaide,7053,Cowandilla (Adelaide),36973,GEORGANAS,Steve,2,Y,Y,ALP,Australian Labor Party,741,-6.93
SA,179,Adelaide,7053,Cowandilla (Adelaide),36094,ALLWOOD,Sean,3,N,N,UAPP,United Australia Party,58,0.18
SA,179,Adelaide,7053,Cowandilla (Adelaide),36053,McMILLAN,Matthew,4,N,N,SOPA,"FUSION: Science, Pirate, Secular, Climate Emergency",21,1.31
SA,179,Adelaide,7053,Cowandilla (Adelaide),36463,GALDIES,Rebecca,5,N,N,GRN,The Greens,388,8.83
SA,179,Adelaide,7053,Cowandilla (Adelaide),37714,GERHARD,Faith,6,N,N,CYA,Australian Federation Party,21,1.31
SA,179,Adelaide,7053,Cowandilla (Adelaide),36885,ALLWOOD,Gayle,7,N,N,ON,Pauline Hanson's One Nation,43,2.67
SA,179,Adelaide,7053,Cowandilla (Adelaide),999,Informal,Informal,999,N,N,,Informal,116,1.23
SA,179,Adelaide,36447,Croydon,37049,GRANTHAM,Amy,1,N,N,LP,Liberal,210,-3.6
SA,179,Adelaide,36447,Croydon,36973,GEORGANAS,Steve,2,Y,Y,ALP,Australian Labor Party,479,-4.23
SA,179,Adelaide,36447,Croydon,36094,ALLWOOD,Sean,3,N,N,UAPP,United Australia Party,29,-0.18
SA,179,Adelaide,36447,Croydon,36053,McMILLAN,Matthew,4,N,N,SOPA,"FUSION: Science, Pirate, Secular, Climate Emergency",21,1.96
SA,179,Adelaide,36447,Croydon,36463,GALDIES,Rebecca,5,N,N,GRN,The Greens,281,5.56
SA,179,Adelaide,36447,Croydon,37714,GERHARD,Faith,6,N,N,CYA,Australian Federation Party,4,0.37
SA,179,Adelaide,36447,Croydon,36885,ALLWOOD,Gayle,7,N,N,ON,Pauline Hanson's One Nation,48,4.48
SA,179,Adelaide,36447,Croydon,999,Informal,Informal,999,N,N,,Informal,58,-0.17
SA,179,Adelaide,6657,Croydon Park,37049,GRANTHAM,Amy,1,N,N,LP,Liberal,282,3.62
SA,179,Adelaide,6657,Croydon Park,36973,GEORGANAS,Steve,2,Y,Y,ALP,Australian Labor Party,471,-5.76
SA,179,Adelaide,6657,Croydon Park,36094,ALLWOOD,Sean,3,N,N,UAPP,United Australia Party,44,0.45
SA,179,Adelaide,6657,Croydon Park,36053,McMILLAN,Matthew,4,N,N,SOPA,"FUSION: Science, Pirate, Secular, Climate Emergency",10,1.02
SA,179,Adelaide,6657,Croydon Park,36463,GALDIES,Rebecca,5,N,N,GRN,The Greens,115,-0.18
SA,179,Adelaide,6657,Croydon Park,37714,GERHARD,Faith,6,N,N,CYA,Australian Federation Party,17,1.74
SA,179,Adelaide,6657,Croydon Park,36885,ALLWOOD,Gayle,7,N,N,ON,Pauline Hanson's One Nation,37,3.79
SA,179,Adelaide,6657,Croydon Park,999,Informal,Informal,999,N,N,,Informal,65,-0.59
SA,179,Adelaide,65592,EAV Adelaide PPVC,37049,GRANTHAM,Amy,1,N,N,LP,Liberal,4,-21.07
SA,179,Adelaide,65592,EAV Adelaide PPVC,36973,GEORGANAS,Steve,2,Y,Y,ALP,Australian Labor Party,8,7.68
SA,179,Adelaide,65592,EAV Adelaide PPVC,36094,ALLWOOD,Sean,3,N,N,UAPP,United Australia Party,0,-7.66
SA,179,Adelaide,65592,EAV Adelaide PPVC,36053,McMILLAN,Matthew,4,N,N,SOPA,"FUSION: Science, Pirate, Secular, Climate Emergency",1,6.25
SA,179,Adelaide,65592,EAV Adelaide PPVC,36463,GALDIES,Rebecca,5,N,N,GRN,The Greens,2,12.41
SA,179,Adelaide,65592,EAV Adelaide PPVC,37714,GERHARD,Faith,6,N,N,CYA,Australian Federation Party,0,0
SA,179,Adelaide,65592,EAV Adelaide PPVC,36885,ALLWOOD,Gayle,7,N,N,ON,Pauline Hanson's One Nation,1,6.25
SA,179,Adelaide,65592,EAV Adelaide PPVC,999,Informal,Informal,999,N,N,,Informal,0,-0.02
SA,179,Adelaide,108580,EAV COVID19 Adelaide PPVC,37049,GRANTHAM,Amy,1,N,N,LP,Liberal,246,26.71
SA,179,Adelaide,108580,EAV COVID19 Adelaide PPVC,36973,GEORGANAS,Steve,2,Y,Y,ALP,Australian Labor Party,377,40.93
SA,179,Adelaide,108580,EAV COVID19 Adelaide PPVC,36094,ALLWOOD,Sean,3,N,N,UAPP,United Australia Party,20,2.17
SA,179,Adelaide,108580,EAV COVID19 Adelaide PPVC,36053,McMILLAN,Matthew,4,N,N,SOPA,"FUSION: Science, Pirate, Secular, Climate Emergency",13,1.41
SA,179,Adelaide,108580,EAV COVID19 Adelaide PPVC,36463,GALDIES,Rebecca,5,N,N,GRN,The Greens,239,25.95
SA,179,Adelaide,108580,EAV COVID19 Adelaide PPVC,37714,GERHARD,Faith,6,N,N,CYA,Australian Federation Party,14,1.52
SA,179,Adelaide,108580,EAV COVID19 Adelaide PPVC,36885,ALLWOOD,Gayle,7,N,N,ON,Pauline Hanson's One Nation,12,1.3
SA,179,Adelaide,108580,EAV COVID19 Adelaide PPVC,999,Informal,Informal,999,N,N,,Informal,13,1.39
SA,179,Adelaide,6659,Enfield,37049,GRANTHAM,Amy,1,N,N,LP,Liberal,476,-1.52
SA,179,Adelaide,6659,Enfield,36973,GEORGANAS,Steve,2,Y,Y,ALP,Australian Labor Party,741,-2.87
SA,179,Adelaide,6659,Enfield,36094,ALLWOOD,Sean,3,N,N,UAPP,United Australia Party,54,-2.57
SA,179,Adelaide,6659,Enfield,36053,McMILLAN,Matthew,4,N,N,SOPA,"FUSION: Science, Pirate, Secular, Climate Emergency",28,1.64
SA,179,Adelaide,6659,Enfield,36463,GALDIES,Rebecca,5,N,N,GRN,The Greens,316,4.39
SA,179,Adelaide,6659,Enfield,37714,GERHARD,Faith,6,N,N,CYA,Australian Federation Party,23,1.35
SA,179,Adelaide,6659,Enfield,36885,ALLWOOD,Gayle,7,N,N,ON,Pauline Hanson's One Nation,65,3.82
SA,179,Adelaide,6659,Enfield,999,Informal,Informal,999,N,N,,Informal,103,0.32
SA,179,Adelaide,96649,Flinders Park (Adelaide),37049,GRANTHAM,Amy,1,N,N,LP,Liberal,146,-9.04
SA,179,Adelaide,96649,Flinders Park (Adelaide),36973,GEORGANAS,Steve,2,Y,Y,ALP,Australian Labor Party,211,0
SA,179,Adelaide,96649,Flinders Park (Adelaide),36094,ALLWOOD,Sean,3,N,N,UAPP,United Australia Party,12,-0.77
SA,179,Adelaide,96649,Flinders Park (Adelaide),36053,McMILLAN,Matthew,4,N,N,SOPA,"FUSION: Science, Pirate, Secular, Climate Emergency",5,1.03
SA,179,Adelaide,96649,Flinders Park (Adelaide),36463,GALDIES,Rebecca,5,N,N,GRN,The Greens,88,6.65
SA,179,Adelaide,96649,Flinders Park (Adelaide),37714,GERHARD,Faith,6,N,N,CYA,Australian Federation Party,5,1.03
SA,179,Adelaide,96649,Flinders Park (Adelaide),36885,ALLWOOD,Gayle,7,N,N,ON,Pauline Hanson's One Nation,19,3.91
SA,179,Adelaide,96649,Flinders Park (Adelaide),999,Informal,Informal,999,N,N,,Informal,31,1.27
SA,179,Adelaide,6868,Fullarton,37049,GRANTHAM,Amy,1,N,N,LP,Liberal,375,-10.62
SA,179,Adelaide,6868,Fullarton,36973,GEORGANAS,Steve,2,Y,Y,ALP,Australian Labor Party,306,3.18
